Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,7.360000133514404,2.809999942779541,5.019999980926514,2.890000104904175,14512566.666666666,4.286964178085327,0.0,4299775.0,456224.0,0.0,2259895.0,431159.0,0.0,0.0,0.0,1152497.0,643590.0,0.0,0.0,339495.0,0.0,0.0,0.0,0.0,0.0,304095.0,0.0,4566173.0,4611658.0,139517.0,0.0,3774434.0,0.0,1533194.0,561484.0,1242698.0,0.0,193294.0,243764.0,0.0,0.0,2839837.0,2306232.0,0.0,272692.0,0.0,0.0,260913.0,0.0,0.0,0.0,7646442.0,7613610.0,34330.0,0.0,142516.0,-144014.0,0.0,0.0,0.0,0.0
2Q2009,2009,6,Bad,8.100000381469727,3.3299999237060547,5.860000133514404,6.699999809265137,19832900.0,5.542848110198975,0.0,4812942.0,773112.0,0.0,2470139.0,439149.0,0.0,0.0,0.0,1130542.0,628031.0,0.0,0.0,373072.0,0.0,0.0,0.0,0.0,0.0,254959.0,0.0,4452588.0,4494753.0,130004.0,0.0,3822239.0,0.0,1789795.0,579988.0,1103743.0,0.0,25438.0,323275.0,0.0,0.0,3064884.0,2471151.0,0.0,331144.0,0.0,0.0,262589.0,0.0,0.0,0.0,7631195.0,7632371.0,15569.0,0.0,142516.0,-159261.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Good,7.099999904632568,5.050000190734863,6.75,5.869999885559082,12598233.333333334,4.464483102162679,0.0,5029958.0,959568.0,0.0,2428809.0,397483.0,0.0,0.0,0.0,1244098.0,543831.0,0.0,0.0,310340.0,0.0,0.0,0.0,0.0,0.0,233491.0,0.0,4450295.0,4366112.0,120492.0,0.0,4253949.0,0.0,1995329.0,546743.0,1434510.0,0.0,20566.0,256801.0,0.0,0.0,2559944.0,2020745.0,0.0,345604.0,0.0,0.0,193595.0,0.0,0.0,0.0,7696795.0,7632371.0,15569.0,0.0,147305.0,-98450.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,7.539999961853027,4.320000171661377,5.829999923706055,7.150000095367432,12007633.333333334,5.03678560256958,0.0,6766521.0,2559177.0,0.0,2480143.0,406434.0,0.0,0.0,0.0,1320767.0,754718.0,0.0,0.0,459893.0,0.0,0.0,0.0,0.0,0.0,294825.0,0.0,5323174.0,4494342.0,110979.0,0.0,5736889.0,0.0,3099983.0,724105.0,1417363.0,0.0,224652.0,270786.0,0.0,0.0,3390130.0,2742595.0,0.0,431841.0,0.0,0.0,215694.0,0.0,0.0,0.0,8322715.0,8149096.0,15569.0,0.0,158050.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Good,7.880000114440918,6.199999809265137,7.199999809265137,7.0,8452533.333333334,5.656779130299886,0.0,5594836.0,1521411.0,0.0,2297742.0,276933.0,0.0,0.0,0.0,1498750.0,923142.0,0.0,0.0,543326.0,0.0,0.0,0.0,0.0,0.0,379816.0,0.0,5572807.0,4912201.0,0.0,0.0,4867930.0,0.0,2272528.0,714301.0,1369945.0,0.0,224601.0,286555.0,0.0,0.0,3503115.0,2648527.0,0.0,523407.0,0.0,0.0,331181.0,0.0,0.0,0.0,8631941.0,8149096.0,396129.0,0.0,158049.0,-71333.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Good,7.489999771118164,5.650000095367432,7.010000228881836,7.300000190734863,11716600.0,5.491272608439128,0.0,6113448.0,1703437.0,0.0,2649504.0,227941.0,0.0,0.0,0.0,1532566.0,891552.0,0.0,0.0,480787.0,0.0,0.0,0.0,0.0,0.0,410765.0,0.0,5136565.0,4356039.0,91954.0,0.0,4752642.0,0.0,2241615.0,601989.0,1596944.0,0.0,23711.0,288383.0,0.0,0.0,3382856.0,2556475.0,0.0,609284.0,0.0,0.0,217097.0,0.0,0.0,0.0,8454060.0,8149096.0,15569.0,0.0,158050.0,131345.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Good,8.140000343322754,6.800000190734863,7.210000038146973,7.260000228881836,11894133.333333334,5.740815321604411,0.0,5407291.0,1369117.0,0.0,2653589.0,222709.0,0.0,0.0,0.0,1161876.0,966577.0,0.0,0.0,545428.0,0.0,0.0,0.0,0.0,0.0,421149.0,0.0,5351457.0,4637740.0,0.0,0.0,4002764.0,0.0,2107669.0,673495.0,926216.0,0.0,15159.0,280225.0,0.0,0.0,3447528.0,2414644.0,0.0,740181.0,0.0,0.0,292703.0,0.0,0.0,0.0,8912773.0,8149096.0,396129.0,0.0,166394.0,201154.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Good,7.449999809265137,5.710000038146973,7.260000228881836,6.809999942779541,17507100.0,5.608126799265544,19370852.0,6425920.0,2376232.0,18177.0,2748411.0,228654.0,0.0,855965.0,93768.0,104713.0,2545361.0,13692.0,0.0,36812.0,0.0,0.0,1732732.0,14620.0,0.0,747505.0,0.0,5863723.0,4535848.0,0.0,19370852.0,5691089.0,125292.0,3103469.0,809703.0,957549.0,0.0,0.0,695076.0,0.0,0.0,3378954.0,2277121.0,0.0,504165.0,83708.0,0.0,513960.0,0.0,0.0,0.0,10300809.0,8149096.0,396129.0,0.0,1755584.0,0.0,0.0,0.0,0.0,0.0
1Q2011,2011,3,Good,8.819999694824219,6.0,6.920000076293945,8.270000457763672,12231962.333333334,6.339268048604329,18852891.0,6110877.0,1580009.0,7083.0,2732850.0,302467.0,0.0,783984.0,606165.0,98319.0,2731749.0,14338.0,0.0,39066.0,0.0,0.0,1694971.0,87100.0,0.0,896274.0,0.0,5576244.0,4434020.0,0.0,18852891.0,5048115.0,142213.0,2552396.0,661499.0,996400.0,0.0,0.0,695607.0,0.0,0.0,3290510.0,2121239.0,0.0,568150.0,81799.0,0.0,519322.0,0.0,0.0,0.0,10514265.0,8149096.0,396129.0,0.0,1755584.0,213456.0,0.0,0.0,0.0,0.0
2Q2011,2011,6,Good,9.140000343322754,6.75,8.199999809265137,8.899999618530273,43989042.666666664,6.865423679351807,18961193.0,6173116.0,1297176.0,2492.0,2951482.0,348390.0,0.0,1044990.0,432409.0,96177.0,2674844.0,15934.0,0.0,47685.0,0.0,0.0,1626565.0,89162.0,0.0,895498.0,0.0,5643414.0,4469817.0,0.0,18961193.0,4476262.0,134696.0,2557930.0,810727.0,669630.0,0.0,0.0,303279.0,0.0,0.0,3620683.0,2430145.0,0.0,616236.0,80154.0,0.0,494148.0,0.0,0.0,0.0,10864246.0,8164665.0,380560.0,0.0,1755584.0,563437.0,0.0,0.0,0.0,0.0
