Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,16.375,11.4350004196167,13.260000228881836,14.074999809265137,141854400.0,13.025301615397135,0.0,11348559.0,3315295.0,0.0,2102835.0,4918449.0,0.0,0.0,0.0,1011980.0,1291098.0,0.0,0.0,35632.0,0.0,0.0,0.0,0.0,7887.0,1247579.0,2010258.0,0.0,1843987.0,0.0,0.0,3796444.0,0.0,818758.0,461978.0,1230466.0,42936.0,573060.0,575122.0,94124.0,0.0,8345437.0,5902091.0,480.0,319452.0,0.0,0.0,2123414.0,0.0,0.0,79794.0,0.0,0.0,0.0,0.0,2398913.0,-111876.0,280354.0,0.0,0.0,0.0
2Q2009,2009,6,Good,21.719999313354492,14.260000228881836,14.425000190734863,20.80500030517578,149475000.0,17.739787737528484,0.0,9661664.0,2809358.0,0.0,1956145.0,4226449.0,0.0,0.0,0.0,669712.0,1362825.0,0.0,0.0,34817.0,0.0,0.0,0.0,0.0,10193.0,1317815.0,1674857.0,0.0,1837398.0,0.0,0.0,2347817.0,0.0,502800.0,212803.0,791002.0,32758.0,3037.0,713440.0,91977.0,0.0,7822175.0,5338398.0,0.0,371499.0,0.0,0.0,2112278.0,0.0,0.0,81382.0,0.0,0.0,0.0,0.0,2398913.0,258065.0,-59012.0,0.0,0.0,0.0
3Q2009,2009,9,Bad,25.065000534057617,17.510000228881836,20.94499969482422,23.354999542236328,131292800.0,21.246599833170574,0.0,9391448.0,2998151.0,0.0,2206626.0,3653119.0,0.0,0.0,0.0,533552.0,1416411.0,0.0,0.0,32714.0,0.0,0.0,0.0,0.0,8270.0,1375427.0,1735413.0,0.0,1832835.0,0.0,0.0,2730301.0,0.0,700268.0,328847.0,787876.0,39721.0,5462.0,772465.0,95662.0,0.0,7351116.0,4876827.0,0.0,452953.0,0.0,0.0,2021336.0,0.0,0.0,106813.0,0.0,0.0,0.0,0.0,2398913.0,622256.0,-163779.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,27.299999237060547,22.19499969482422,23.549999237060547,24.69499969482422,97058200.0,23.021207173665363,0.0,9239835.0,3083047.0,0.0,1798390.0,3637203.0,0.0,0.0,0.0,721195.0,1119960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7344.0,1112616.0,1806734.0,11950117.0,1737495.0,0.0,0.0,3036027.0,0.0,815286.0,209857.0,753274.0,54776.0,310752.0,892082.0,0.0,0.0,6648585.0,4784531.0,0.0,1399863.0,0.0,0.0,464191.0,0.0,0.0,355406.0,0.0,0.0,0.0,0.0,3315028.0,554048.0,-204953.0,0.0,0.0,0.0
1Q2010,2010,3,Bad,30.899999618530273,22.934999465942383,24.69499969482422,30.459999084472656,100367666.66666667,25.416141510009766,0.0,9154245.0,2570600.0,0.0,2265870.0,3719681.0,0.0,0.0,0.0,598094.0,1179234.0,0.0,0.0,34801.0,0.0,0.0,0.0,0.0,7064.0,1137369.0,2000466.0,0.0,1744593.0,0.0,0.0,3347269.0,0.0,986027.0,314096.0,540617.0,88887.0,348518.0,1069124.0,0.0,0.0,6777037.0,4891493.0,64800.0,340460.0,0.0,0.0,1480284.0,0.0,0.0,368947.0,0.0,0.0,0.0,0.0,3315028.0,800587.0,-154352.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,32.224998474121094,20.7549991607666,30.899999618530273,24.05500030517578,120845103.33333333,23.575576782226562,0.0,0.0,3667540.0,0.0,2445578.0,3998908.0,0.0,0.0,0.0,593383.0,1151353.0,0.0,0.0,34629.0,0.0,0.0,0.0,0.0,6864.0,1109860.0,2075554.0,0.0,1754080.0,0.0,0.0,3182114.0,0.0,1116304.0,303004.0,596566.0,75961.0,2617.0,1087662.0,0.0,0.0,8766904.0,6734030.0,56244.0,447656.0,0.0,0.0,1528974.0,0.0,0.0,376938.0,0.0,0.0,0.0,0.0,3315028.0,1139716.0,-120270.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,27.229999542236328,21.764999389648438,24.200000762939453,22.700000762939453,242110033.33333334,21.815100351969402,0.0,11647129.0,3928306.0,0.0,2050527.0,5010460.0,0.0,0.0,0.0,657836.0,1269785.0,0.0,0.0,34702.0,0.0,0.0,0.0,0.0,6292.0,1228791.0,2028507.0,0.0,1758206.0,0.0,0.0,3474447.0,0.0,1119065.0,326981.0,645902.0,80970.0,232040.0,1069489.0,0.0,0.0,9833666.0,7778441.0,49904.0,503267.0,0.0,0.0,1502054.0,0.0,0.0,373341.0,0.0,0.0,0.0,0.0,3315028.0,1405546.0,-228464.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,23.100000381469727,18.299999237060547,23.0,19.15999984741211,105783900.0,18.675459543863933,31819561.0,12305384.0,4553885.0,0.0,1760751.0,4898311.0,0.0,0.0,0.0,1092437.0,1436133.0,0.0,0.0,31654.0,0.0,0.0,398223.0,0.0,5960.0,1000296.0,2061186.0,14275006.0,1741850.0,0.0,31819561.0,3531823.0,287209.0,1257868.0,309034.0,847783.0,79546.0,159819.0,590564.0,0.0,0.0,9258299.0,6904124.0,42828.0,559543.0,0.0,0.0,1751804.0,0.0,0.0,1596838.0,17432598.0,12150000.0,0.0,0.0,4316992.0,0.0,965607.0,0.0,0.0,0.0
1Q2011,2011,3,Bad,21.799999237060547,18.25,19.350000381469727,20.469999313354492,120809554.66666667,18.869938532511394,31911709.0,13795146.0,3909941.0,1977354.0,1738834.0,4892753.0,0.0,0.0,0.0,1276264.0,1423782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5906.0,1417876.0,405718.0,14556859.0,1730204.0,0.0,31911709.0,3889307.0,297112.0,1426807.0,205767.0,1217248.0,68071.0,124911.0,549391.0,0.0,0.0,8863681.0,6582218.0,36511.0,500885.0,0.0,0.0,1744067.0,0.0,0.0,1637534.0,17521187.0,12150000.0,0.0,0.0,4316992.0,-20702.0,898682.0,-618.0,176833.0,0.0
2Q2011,2011,6,Bad,20.0,12.850000381469727,19.899999618530273,13.699999809265137,102242470.0,14.518457412719727,32226804.0,13821404.0,3640345.0,1989197.0,1646133.0,5243236.0,0.0,0.0,0.0,1302493.0,1423919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5834.0,1418085.0,423836.0,14830640.0,1727005.0,0.0,32226804.0,3970111.0,331438.0,1613315.0,261434.0,1108300.0,63168.0,2347.0,590109.0,0.0,0.0,9148310.0,6867317.0,25888.0,495191.0,0.0,0.0,1759914.0,0.0,0.0,1677210.0,17431175.0,12150000.0,0.0,0.0,4316992.0,96604.0,869130.0,-1553.0,0.0,0.0
