Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
4Q2010,2010,12,Bad,58.45000076293945,52.18000030517578,52.61000061035156,55.33000183105469,59025300.0,37.92876434326172,214662119.0,54267830.0,13468958.0,0.0,14052472.0,7592024.0,0.0,2795557.0,0.0,16358823.0,8088196.0,0.0,0.0,274464.0,0.0,0.0,2439984.0,254366.0,8032.0,5111350.0,3945462.0,130086830.0,18273788.0,0.0,214662119.0,31384173.0,0.0,5803709.0,1751239.0,6010869.0,24251.0,8104037.0,0.0,9690066.0,0.0,66951082.0,37779485.0,3362.0,0.0,12947141.0,0.0,16221092.0,0.0,0.0,4208860.0,112118007.0,49999999.0,3993821.0,0.0,67661791.0,0.0,-25383.0,-9512225.0,0.0,0.0
1Q2011,2011,3,Bad,61.220001220703125,50.599998474121094,56.29999923706055,53.349998474121094,54623156.333333336,39.189337412516274,217320210.0,46568993.0,19138882.0,0.0,12815632.0,8310415.0,0.0,2926240.0,0.0,3377824.0,10044402.0,0.0,0.0,499396.0,0.0,0.0,2597279.0,422445.0,15807.0,6509475.0,9963231.0,132008067.0,18735518.0,0.0,217320210.0,21962891.0,0.0,6739356.0,1634214.0,3667358.0,34319.0,6435079.0,0.0,3452567.0,0.0,68372296.0,37625078.0,236.0,0.0,14115012.0,0.0,16631973.0,0.0,0.0,4286925.0,122698103.0,49999999.0,3977717.0,0.0,67661791.0,11290983.0,-15554.0,-10216841.0,0.0,0.0
2Q2011,2011,6,Bad,54.79999923706055,46.880001068115234,53.45000076293945,49.4900016784668,61849258.0,35.963932037353516,222235607.0,50617758.0,21323360.0,0.0,13350412.0,8762907.0,0.0,3524296.0,0.0,3656780.0,8714356.0,0.0,0.0,476590.0,0.0,0.0,1781353.0,398193.0,24718.0,6033502.0,9772688.0,134593151.0,18537642.0,0.0,222235607.0,25651018.0,1654361.0,7142336.0,6895872.0,4136477.0,14120.0,3286055.0,0.0,2521797.0,0.0,62034600.0,36869132.0,19052.0,0.0,9556980.0,0.0,15589437.0,0.0,0.0,4107403.0,130442584.0,74999996.0,2077332.0,0.0,44529000.0,21566341.0,212418.0,-12942515.0,0.0,0.0
3Q2011,2011,9,Bad,52.470001220703125,39.54999923706055,50.150001525878906,42.650001525878906,96402833.33333333,32.78604253133138,239097332.0,50422067.0,14674488.0,0.0,16645070.0,9983148.0,0.0,3999775.0,0.0,5119587.0,11011599.0,0.0,0.0,534796.0,0.0,0.0,3815613.0,278409.0,15711.0,6367070.0,10810285.0,148098744.0,18754628.0,0.0,239097332.0,23473449.0,2098625.0,8732002.0,2486735.0,4087701.0,34031.0,3292734.0,0.0,2741619.0,0.0,69937242.0,41831686.0,0.0,0.0,10703256.0,0.0,17402292.0,0.0,0.0,4626468.0,141060175.0,74999996.0,2010715.0,0.0,41208877.0,24604377.0,470306.0,-2234096.0,0.0,0.0
4Q2011,2011,12,Bad,46.5,38.54999923706055,41.95000076293945,39.45000076293945,79597166.66666667,30.203015009562176,241783112.0,42095215.0,7457928.0,0.0,16304723.0,10351085.0,0.0,4317178.0,0.0,3664302.0,10913071.0,0.0,0.0,399298.0,0.0,0.0,3691552.0,505571.0,904037.0,5412613.0,10917110.0,158105387.0,19752321.0,0.0,241783112.0,22225074.0,2527258.0,9156706.0,2037589.0,3871650.0,32098.0,2207101.0,0.0,2392672.0,0.0,72867668.0,42752774.0,229632.0,0.0,10772547.0,0.0,19112718.0,0.0,0.0,3214969.0,143475407.0,74999996.0,1085105.0,0.0,68187447.0,0.0,219556.0,-1016711.0,0.0,0.0
1Q2012,2012,3,Bad,46.29999923706055,39.77000045776367,39.77000045776367,42.900001525878906,81063633.33333333,31.997831344604492,242568102.0,40794046.0,9010806.0,0.0,14324738.0,10155595.0,0.0,3622274.0,0.0,3680634.0,10909032.0,0.0,0.0,382697.0,0.0,0.0,3917462.0,454052.0,932775.0,5222046.0,15816422.0,157088924.0,17959670.0,0.0,242568102.0,19872121.0,1380149.0,8493405.0,1132588.0,4329547.0,36208.0,2207101.0,0.0,2293122.0,0.0,70547087.0,41189224.0,143184.0,0.0,10453979.0,0.0,18760700.0,0.0,0.0,3036423.0,149112463.0,74999996.0,1030532.0,0.0,68187455.0,6720400.0,233045.0,-2058977.0,0.0,0.0
2Q2012,2012,6,Bad,44.43000030517578,35.61000061035156,42.9900016784668,40.130001068115234,99606766.66666667,29.83276875813802,253501358.0,41205527.0,8117669.0,0.0,14670204.0,10501884.0,0.0,4309765.0,0.0,3606004.0,10959811.0,0.0,0.0,456825.0,0.0,0.0,3774883.0,702411.0,851291.0,5174401.0,16037262.0,167217185.0,18081571.0,0.0,253501358.0,18403797.0,1976060.0,8908928.0,841596.0,3998433.0,38061.0,0.0,2315170.0,325550.0,0.0,74481549.0,46609764.0,157993.0,9216462.0,8072259.0,0.0,10425076.0,0.0,0.0,3115110.0,157500896.0,74999996.0,-458169.0,0.0,70266479.0,8760166.0,-1089328.0,5021746.0,0.0,0.0
3Q2012,2012,9,Bad,41.90999984741211,32.209999084472656,40.0099983215332,36.4900016784668,107904233.33333333,26.86781120300293,272265085.0,50607919.0,16105087.0,1387283.0,14020866.0,10434050.0,0.0,3627827.0,0.0,5032808.0,12040271.0,0.0,0.0,362018.0,0.0,0.0,5013850.0,349224.0,1101755.0,5213424.0,16601314.0,174360150.0,18655437.0,0.0,272265085.0,20958267.0,2151717.0,9227404.0,2438910.0,4134848.0,400040.0,0.0,2173202.0,353912.0,78235.0,84719346.0,54487994.0,164679.0,10177302.0,8215300.0,0.0,11674063.0,0.0,0.0,3079985.0,163507481.0,74999996.0,-454391.0,0.0,70266479.0,12088250.0,-1056190.0,7663344.0,0.0,0.0
4Q2012,2012,12,Bad,43.54999923706055,35.0099983215332,36.56999969482422,42.279998779296875,89422200.0,29.98852793375651,266921640.0,46039618.0,11917718.0,0.0,14670865.0,10319973.0,0.0,4619901.0,0.0,4511161.0,15560930.0,0.0,0.0,501726.0,0.0,0.0,8134034.0,0.0,832571.0,6092599.0,13044460.0,173454623.0,18822027.0,0.0,266921640.0,25668299.0,3024651.0,9255150.0,1974208.0,7092878.0,423336.0,0.0,0.0,3571524.0,326551.0,85620146.0,54762975.0,146440.0,0.0,7753893.0,0.0,22956833.0,0.0,0.0,3245026.0,152388196.0,74999996.0,-789637.0,0.0,70611673.0,0.0,-1126628.0,8692782.0,0.0,0.0
1Q2013,2013,3,Bad,44.7599983215332,33.5,42.279998779296875,35.130001068115234,74695366.66666667,29.22076161702474,268785156.0,46178554.0,12197112.0,0.0,13152254.0,10884789.0,0.0,4660873.0,0.0,5283522.0,16043283.0,0.0,0.0,519173.0,0.0,0.0,8578269.0,0.0,819381.0,6126460.0,12922619.0,174850851.0,18789841.0,0.0,268785156.0,22992972.0,1718216.0,8265281.0,2087411.0,6559690.0,392309.0,0.0,0.0,3613498.0,356567.0,89274278.0,53874446.0,115743.0,0.0,7074106.0,0.0,28209986.0,0.0,0.0,3096317.0,153421575.0,74999996.0,-789637.0,0.0,70611673.0,6349189.0,-4235026.0,6485370.0,0.0,0.0
2Q2013,2013,6,Bad,36.810001373291016,28.229999542236328,34.810001373291016,28.90999984741211,108734933.33333333,24.585856755574543,282120946.0,46937424.0,13126350.0,0.0,12885694.0,11192221.0,0.0,5188085.0,0.0,4545073.0,21125700.0,0.0,0.0,543861.0,0.0,0.0,9468064.0,0.0,558749.0,10555026.0,8416677.0,186262569.0,19378604.0,0.0,282120946.0,24768127.0,2182004.0,9238012.0,1467285.0,7136323.0,260242.0,0.0,0.0,4484263.0,0.0,97471799.0,59043566.0,147705.0,0.0,7167256.0,0.0,31113275.0,0.0,0.0,3218530.0,156662506.0,74999996.0,-789637.0,0.0,70611673.0,2728506.0,-5034563.0,14146537.0,0.0,0.0
3Q2013,2013,9,Bad,38.310001373291016,27.889999389648438,28.34000015258789,34.459999084472656,101368300.0,26.457781473795574,292741349.0,55177933.0,15878774.0,0.0,13898533.0,10171282.0,0.0,4617143.0,0.0,10612199.0,23145593.0,0.0,0.0,599090.0,0.0,0.0,10463103.0,0.0,538809.0,11544591.0,8835314.0,189677339.0,15905149.0,0.0,292741349.0,26674020.0,2669837.0,8896467.0,3650127.0,6853020.0,246629.0,0.0,0.0,3345417.0,1012522.0,97475584.0,58971451.0,148142.0,0.0,6927715.0,0.0,31428272.0,0.0,0.0,3135394.0,165456326.0,74999996.0,-789637.0,0.0,70611673.0,10678006.0,-4713648.0,14669940.0,0.0,0.0
4Q2013,2013,12,Bad,38.93000030517578,32.81999969482422,34.75,35.709999084472656,95841033.33333333,28.889746983846027,291880305.0,57104708.0,12465248.0,0.0,13971366.0,9662411.0,0.0,9261746.0,0.0,11743937.0,18974757.0,0.0,0.0,564482.0,0.0,0.0,10596332.0,0.0,252617.0,7561325.0,8396791.0,191308235.0,16095817.0,0.0,291880305.0,22517295.0,3247361.0,8836523.0,2753607.0,4157870.0,479267.0,0.0,0.0,1992792.0,1049876.0,117240955.0,64819143.0,11191.0,0.0,7561947.0,0.0,44848669.0,0.0,0.0,3776259.0,148345806.0,74999996.0,-789637.0,0.0,61422117.0,0.0,-2815532.0,15528860.0,0.0,0.0
1Q2014,2014,3,Bad,36.04999923706055,29.079999923706055,35.709999084472656,31.420000076293945,105698133.33333333,26.4359556833903,288843137.0,52027392.0,16252338.0,0.0,10910614.0,10757455.0,0.0,7300050.0,0.0,6806935.0,19180317.0,0.0,0.0,591142.0,0.0,0.0,10613801.0,0.0,260305.0,7715069.0,12028631.0,189553066.0,16053706.0,0.0,288843137.0,20279290.0,1811334.0,7859251.0,1611683.0,4003268.0,742716.0,0.0,0.0,4251038.0,0.0,114908594.0,63557169.0,371843.0,0.0,7263778.0,0.0,43715805.0,0.0,0.0,3407503.0,150247727.0,74999996.0,-789637.0,0.0,61422117.0,5908759.0,-2757242.0,11463736.0,0.0,0.0
2Q2014,2014,6,Bad,34.439998626708984,28.209999084472656,31.700000762939453,29.239999771118164,79118533.33333333,24.105595270792644,283575615.0,49724834.0,15560231.0,0.0,10705906.0,10980855.0,0.0,6175335.0,0.0,6302507.0,18381875.0,0.0,0.0,521655.0,0.0,0.0,9669963.0,0.0,232020.0,7958239.0,11250506.0,188332638.0,15885744.0,0.0,283575615.0,20983493.0,2262038.0,8209002.0,2024318.0,3966153.0,481815.0,0.0,0.0,4040166.0,0.0,112047014.0,61805306.0,390217.0,0.0,7406297.0,0.0,42445197.0,0.0,0.0,2749020.0,147796069.0,77299999.0,-789637.0,0.0,54489727.0,9096027.0,-2449901.0,10149861.0,0.0,0.0
3Q2014,2014,9,Bad,33.25,26.139999389648438,29.5,26.850000381469727,95983733.33333333,24.70819155375163,301095322.0,52123546.0,19318729.0,0.0,8931755.0,11829465.0,0.0,7250249.0,0.0,4793344.0,21206813.0,0.0,0.0,602252.0,0.0,0.0,10551501.0,0.0,455636.0,9597423.0,11420377.0,199428211.0,16916372.0,0.0,301095322.0,25483510.0,2914952.0,9968180.0,2358445.0,5004080.0,319797.0,0.0,0.0,4918056.0,0.0,120256209.0,66777170.0,274747.0,0.0,7977311.0,0.0,45226988.0,0.0,0.0,3150279.0,152205316.0,77299999.0,-789637.0,0.0,54489727.0,5714641.0,-2698093.0,18188679.0,0.0,0.0
4Q2014,2014,12,Bad,28.739999771118164,18.200000762939453,26.649999618530273,21.90999984741211,235510955.0,20.050219853719074,309415510.0,53744763.0,10555341.0,0.0,10236912.0,11955665.0,0.0,8714768.0,0.0,12282078.0,19071660.0,0.0,0.0,609317.0,0.0,0.0,10560010.0,0.0,93130.0,7809202.0,10977902.0,207507063.0,18114144.0,0.0,309415510.0,28513755.0,3088833.0,11566246.0,2398519.0,3768187.0,812698.0,0.0,0.0,6585614.0,293660.0,131300155.0,72749122.0,288315.0,0.0,8873715.0,0.0,49388999.0,0.0,0.0,3186940.0,146414676.0,77299999.0,-919821.0,0.0,50337751.0,0.0,-4553335.0,24250087.0,0.0,0.0
1Q2015,2015,3,Bad,23.1299991607666,17.649999618530273,21.90999984741211,17.940000534057617,126536500.0,16.7241268157959,335397749.0,56786952.0,11817819.0,0.0,9024991.0,13036799.0,0.0,9083259.0,0.0,13824083.0,23425325.0,0.0,0.0,694561.0,0.0,0.0,14035636.0,0.0,72253.0,8622876.0,12230136.0,223622939.0,19332389.0,0.0,335397749.0,32165550.0,1687179.0,11001453.0,2058317.0,10249497.0,856325.0,0.0,0.0,5852632.0,460147.0,148230111.0,81135206.0,289620.0,0.0,9941786.0,0.0,56863502.0,0.0,0.0,3682545.0,151319532.0,77299999.0,-925023.0,0.0,50337751.0,-9538426.0,-4961795.0,39107031.0,0.0,0.0
