Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,4.807690143585205,3.0621299743652344,4.807690143585205,3.455620050430298,20165192.666666668,2.2980526288350425,5259835.0,3829841.0,1806997.0,0.0,910048.0,853688.0,0.0,0.0,0.0,259108.0,214138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214138.0,15517.0,1091589.0,108750.0,0.0,5259835.0,2047161.0,0.0,214205.0,178406.0,1044633.0,0.0,125763.0,484154.0,0.0,0.0,953052.0,767273.0,0.0,185779.0,0.0,0.0,0.0,0.0,0.0,43460.0,2216162.0,1800000.0,0.0,5739.0,282680.0,119571.0,8172.0,0.0,0.0,0.0
2Q2009,2009,6,Good,5.461540222167969,3.2574000358581543,3.455620050430298,4.0828399658203125,39190198.666666664,2.946498155593872,5382039.0,3979320.0,2003241.0,0.0,909473.0,821688.0,0.0,0.0,0.0,244918.0,223577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223577.0,14690.0,1064445.0,100007.0,0.0,5382039.0,1814479.0,0.0,196701.0,223849.0,943532.0,0.0,26507.0,423890.0,0.0,0.0,1207229.0,989092.0,0.0,218137.0,0.0,0.0,0.0,0.0,0.0,45627.0,2314704.0,1800000.0,0.0,4289.0,282680.0,252237.0,-24502.0,0.0,0.0,0.0
3Q2009,2009,9,Bad,5.630770206451416,3.689349889755249,4.0828399658203125,4.994080066680908,31955984.666666668,3.260225454966227,5373607.0,3973158.0,2127117.0,0.0,910136.0,758116.0,0.0,0.0,0.0,177789.0,193814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193814.0,16041.0,1061734.0,128860.0,0.0,5373607.0,1825846.0,0.0,188779.0,165331.0,895885.0,0.0,164134.0,411717.0,0.0,0.0,1160757.0,976648.0,0.0,184109.0,0.0,0.0,0.0,0.0,0.0,24217.0,2362787.0,1812294.0,44931.0,3935.0,533512.0,0.0,-31885.0,0.0,0.0,0.0
4Q2009,2009,12,Good,6.961540222167969,4.7011799812316895,4.985209941864014,5.428989887237549,23613356.0,3.700779914855957,6417038.0,3803788.0,1962538.0,0.0,864517.0,812461.0,0.0,0.0,0.0,164272.0,170517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170517.0,16861.0,2302304.0,123568.0,0.0,6417038.0,1582381.0,0.0,206530.0,162183.0,814274.0,0.0,29454.0,369940.0,0.0,0.0,1547248.0,968192.0,0.0,579056.0,0.0,0.0,0.0,0.0,0.0,28688.0,3258721.0,1812294.0,44931.0,3919.0,533512.0,101506.0,762559.0,0.0,0.0,0.0
1Q2010,2010,3,Good,7.076920032501221,4.884620189666748,7.076920032501221,5.621300220489502,21976534.666666668,3.7809460957845054,7343910.0,4591996.0,2463531.0,0.0,960353.0,971196.0,0.0,0.0,0.0,196916.0,163413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163413.0,776.0,2388640.0,199085.0,0.0,7343910.0,1883425.0,0.0,289674.0,199751.0,741233.0,0.0,59973.0,592794.0,0.0,0.0,2057349.0,1445891.0,0.0,611458.0,0.0,0.0,0.0,0.0,0.0,80672.0,3322464.0,1812294.0,44931.0,3902.0,533512.0,194239.0,733586.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,7.307690143585205,4.437870025634766,5.659759998321533,4.940830230712891,16324549.333333334,3.555652936299642,7365112.0,4628280.0,2399773.0,0.0,1026652.0,1015175.0,0.0,0.0,0.0,186680.0,149892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149892.0,222.0,2394633.0,192085.0,0.0,7365112.0,1795005.0,0.0,273823.0,240672.0,841311.0,0.0,32052.0,407147.0,0.0,0.0,2126673.0,1503836.0,0.0,622837.0,0.0,0.0,0.0,0.0,0.0,85991.0,3357443.0,1812294.0,44931.0,3897.0,533512.0,248545.0,714264.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,6.569230079650879,4.83135986328125,4.9171600341796875,5.47337007522583,22996425.666666668,3.802706797917684,7511164.0,4794009.0,53971.0,2499025.0,1044712.0,1008952.0,0.0,107182.0,0.0,80167.0,136984.0,0.0,0.0,0.0,0.0,0.0,78810.0,0.0,0.0,58174.0,601.0,2395575.0,183995.0,0.0,7511164.0,1938803.0,141797.0,242300.0,72204.0,1018995.0,0.0,63440.0,400067.0,0.0,0.0,2028525.0,1399948.0,0.0,86875.0,415318.0,0.0,126384.0,0.0,0.0,89229.0,3454607.0,1812294.0,44931.0,3884.0,900676.0,0.0,758715.0,-65893.0,0.0,0.0
4Q2010,2010,12,Bad,9.042309761047363,5.443789958953857,5.446750164031982,8.38461971282959,33485998.0,5.193193117777507,7424388.0,4731859.0,2487136.0,0.0,1026094.0,1019551.0,0.0,118144.0,0.0,80934.0,127146.0,0.0,0.0,0.0,0.0,0.0,86060.0,0.0,0.0,41086.0,2199.0,2383215.0,179969.0,0.0,7424388.0,2013822.0,134958.0,259762.0,68362.0,1104366.0,3438.0,39575.0,403361.0,0.0,0.0,1882071.0,1251638.0,0.0,89435.0,415682.0,0.0,125316.0,0.0,0.0,93487.0,3435008.0,1812294.0,44931.0,3871.0,799468.0,92115.0,682329.0,0.0,0.0,0.0
1Q2011,2011,3,Bad,7.919229984283447,5.4171600341796875,6.508880138397217,6.1982197761535645,25844479.333333332,4.336684544881185,7979509.0,5069586.0,2674637.0,0.0,1095847.0,1086034.0,0.0,127932.0,0.0,85136.0,358414.0,226057.0,0.0,0.0,0.0,0.0,89776.0,0.0,2909.0,39672.0,931.0,2375903.0,174675.0,0.0,7979509.0,2179394.0,188147.0,295775.0,94022.0,1111282.0,1621.0,78682.0,409865.0,0.0,0.0,2192908.0,1567111.0,0.0,86317.0,411203.0,0.0,128277.0,0.0,0.0,94100.0,3513107.0,2265367.0,0.0,3859.0,441449.0,152000.0,650432.0,0.0,0.0,0.0
2Q2011,2011,6,Bad,6.573959827423096,4.982250213623047,6.153850078582764,5.266270160675049,29453061.0,4.000264406204224,8695827.0,5742007.0,3086568.0,0.0,1162056.0,1269623.0,0.0,139791.0,0.0,83969.0,378587.0,233266.0,0.0,0.0,0.0,0.0,103846.0,0.0,797.0,40678.0,933.0,2397920.0,176380.0,0.0,8695827.0,2818379.0,188599.0,317125.0,63632.0,1797222.0,2308.0,47903.0,401590.0,0.0,0.0,2167388.0,1491765.0,0.0,129275.0,411545.0,0.0,134803.0,0.0,0.0,98709.0,3611351.0,2265367.0,0.0,3848.0,381270.0,271261.0,689605.0,0.0,0.0,0.0
