Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2014,2014,3,Bad,17.56839942932129,15.148599624633787,17.31839942932129,16.948400497436527,196597217.66666663,14.10224437713623,63297044.0,16352306.0,7296176.0,410173.0,3110085.0,3062296.0,0.0,1420520.0,682212.0,370844.0,3756613.0,0.0,72856.0,0.0,0.0,0.0,1478593.0,0.0,0.0,2205164.0,52264.0,13592357.0,29543504.0,0.0,63297044.0,16170391.0,531316.0,6828317.0,2990676.0,922265.0,0.0,2379139.0,2374356.0,144322.0,0.0,7021086.0,1832055.0,0.0,3042328.0,1712877.0,0.0,433826.0,0.0,0.0,1183099.0,38922467.0,57026675.0,55384994.0,0.0,1854524.0,1425929.0,-76769657.0,0.0,0.0,0.0
2Q2014,2014,6,Good,17.848400115966797,15.4399995803833,16.90839958190918,15.760000228881836,217670882.3333333,13.601283709208168,62989046.0,15773269.0,6273862.0,379938.0,3538384.0,3120458.0,0.0,1510419.0,553012.0,397196.0,3796661.0,0.0,70323.0,0.0,0.0,0.0,1560626.0,0.0,0.0,2165712.0,45764.0,13913460.0,29459888.0,0.0,62989046.0,14456702.0,488236.0,6617454.0,2888665.0,869694.0,0.0,374421.0,3063177.0,155055.0,0.0,6583738.0,1787039.0,0.0,2629108.0,1720917.0,0.0,446674.0,0.0,0.0,1134143.0,40814459.0,57131287.0,55309119.0,0.0,1854524.0,3592811.0,-77073277.0,0.0,0.0,0.0
3Q2014,2014,9,Good,16.879999160766598,15.010000228881836,15.779999732971193,16.040000915527347,251840233.3333333,13.748458226521812,65125921.0,15446576.0,5748116.0,526789.0,3275641.0,3158975.0,0.0,1706011.0,539432.0,491612.0,4393090.0,0.0,75580.0,0.0,0.0,0.0,2140412.0,0.0,0.0,2177098.0,37101.0,14814114.0,30435039.0,0.0,65125921.0,14590587.0,577373.0,6950304.0,2231823.0,794886.0,0.0,448605.0,3456782.0,130814.0,0.0,6911235.0,1719091.0,0.0,3116704.0,1701318.0,0.0,374122.0,0.0,0.0,1228763.0,42395337.0,57508839.0,55095534.0,0.0,1854524.0,3895621.0,-75959173.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,17.450000762939453,14.949999809265135,15.850000381469727,16.350000381469727,465554683.0,14.338640213012695,72143200.0,20728420.0,9722067.0,712958.0,3028854.0,3411284.0,0.0,1581908.0,781603.0,1489747.0,4376472.0,0.0,67966.0,0.0,0.0,0.0,1392500.0,115625.0,0.0,2800381.0,40448.0,15740058.0,31257805.0,0.0,72143200.0,21824784.0,598360.0,8708739.0,3543689.0,988056.0,0.0,2435350.0,5411355.0,139234.0,0.0,6673751.0,1634567.0,0.0,2758333.0,1737631.0,0.0,543220.0,0.0,0.0,1423075.0,42221595.0,57582346.0,55023268.0,0.0,4883945.0,0.0,-75267965.0,0.0,0.0,0.0
1Q2015,2015,3,Bad,18.96999931335449,15.539999961853027,16.350000381469727,18.479999542236328,236088266.66666663,16.001094818115234,75101184.0,19241015.0,6974585.0,1033758.0,2897700.0,4377889.0,0.0,1394295.0,701362.0,1861428.0,5859775.0,0.0,84416.0,0.0,0.0,0.0,2791228.0,100646.0,0.0,2883485.0,146156.0,16542042.0,33312197.0,0.0,75101184.0,21767887.0,615576.0,8199044.0,3042100.0,994518.0,0.0,498622.0,8276886.0,141140.0,0.0,7220915.0,1696525.0,0.0,3051086.0,1896973.0,0.0,576331.0,0.0,0.0,1794362.0,44318021.0,57614139.0,54986125.0,0.0,2904091.0,1867697.0,-73054036.0,0.0,0.0,0.0
2Q2015,2015,6,Bad,20.290000915527344,18.09000015258789,18.649999618530273,18.75,236152266.66666663,16.670986811319988,74436157.0,18360257.0,6899779.0,776569.0,2850365.0,4078682.0,0.0,1436563.0,630522.0,1687776.0,6184551.0,0.0,95183.0,0.0,0.0,0.0,3211413.0,96989.0,0.0,2780966.0,147157.0,16820020.0,32924176.0,0.0,74436157.0,20728312.0,713770.0,7349535.0,2883730.0,1058483.0,850688.0,495254.0,7167861.0,208992.0,0.0,7782061.0,1607530.0,0.0,3180053.0,2249273.0,0.0,745205.0,0.0,0.0,1735371.0,44190419.0,57614139.0,54621647.0,0.0,2904091.0,2805802.0,-73755263.0,0.0,0.0,0.0
3Q2015,2015,9,Bad,20.18000030517578,16.959999084472653,19.049999237060547,19.170000076293945,378294766.6666667,17.434762954711914,88043176.0,23835351.0,9680857.0,718737.0,3547086.0,4521418.0,0.0,1290410.0,825520.0,3251325.0,9090580.0,0.0,226314.0,0.0,0.0,0.0,5499439.0,100096.0,0.0,3264731.0,137508.0,18624461.0,36355273.0,0.0,88043176.0,28055751.0,990927.0,8781517.0,3238257.0,997327.0,1060514.0,649515.0,12215764.0,121929.0,0.0,9684700.0,1988194.0,0.0,4304746.0,2704540.0,0.0,687220.0,0.0,0.0,2027970.0,48274752.0,57614139.0,54302593.0,0.0,2904091.0,3404144.0,-69950210.0,0.0,0.0,0.0
4Q2015,2015,12,Bad,20.459999084472656,17.6299991607666,19.40999984741211,17.850000381469727,264933500.0,16.695051829020187,90176233.0,28314489.0,13620161.0,215106.0,4165670.0,4338172.0,0.0,3194972.0,1017140.0,1763268.0,5961469.0,0.0,118628.0,0.0,0.0,0.0,2749852.0,119159.0,0.0,2973830.0,714925.0,19140088.0,36045263.0,0.0,90176233.0,30141911.0,915542.0,11109093.0,4342096.0,1282573.0,724596.0,598573.0,11046292.0,123149.0,0.0,9700688.0,2316903.0,0.0,4410726.0,2473535.0,0.0,499524.0,0.0,0.0,2001750.0,48331880.0,57614139.0,54373454.0,0.0,8201323.0,0.0,-71857029.0,0.0,0.0,0.0
1Q2016,2016,3,Bad,19.56999969482422,15.989999771118164,17.850000381469727,18.799999237060547,299161166.6666667,16.72990290323893,80248013.0,19074488.0,6007322.0,209067.0,3146114.0,4896059.0,0.0,3179339.0,748560.0,888026.0,6010440.0,0.0,74399.0,0.0,0.0,0.0,3059473.0,96887.0,0.0,2779681.0,384943.0,18693417.0,36084728.0,0.0,80248013.0,21904013.0,662798.0,9152026.0,2862961.0,1666384.0,712539.0,578951.0,6146952.0,121403.0,0.0,9323895.0,2293456.0,0.0,4144575.0,2461468.0,0.0,424396.0,0.0,0.0,1942244.0,47077861.0,57614139.0,54419079.0,0.0,6162152.0,2766865.0,-73884377.0,0.0,0.0,0.0
2Q2016,2016,6,Bad,19.709999084472656,18.06999969482422,18.82999992370605,19.049999237060547,238344000.0,17.554361979166668,76656714.0,18561516.0,5729655.0,263893.0,3445761.0,4403950.0,0.0,3232647.0,703987.0,781624.0,5009424.0,0.0,87790.0,0.0,0.0,0.0,2727682.0,136506.0,0.0,2057446.0,380796.0,18259925.0,34445054.0,0.0,76656714.0,21894846.0,687957.0,7417783.0,2386839.0,1665114.0,676698.0,2613829.0,6328140.0,118486.0,0.0,8699247.0,1968210.0,0.0,4090868.0,2204757.0,0.0,435412.0,0.0,0.0,1761612.0,44301009.0,57614139.0,54449934.0,0.0,6162152.0,2772905.0,-76698124.0,0.0,0.0,0.0
