target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Tributos a Recuperar AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo,Contas a Receber ACLP,Tributos Diferidos ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Outros PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Outros PNC,Tributos Diferidos PNC,Provisões PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Lucros,Lucros/Prejuízos Acumulados
Bad,42.900001525878906,19.440000534057614,19.98500061035156,22.75,34496335.333333336,12.533106168111164,2885705.0,1715015.0,374622.0,517070.65529720613,427631.0,623539.0,99866.19409637824,289223.0,4161078.8687648554,544857.0,171324.33508354114,457730.55602372414,30459.09169210959,525295.0,100538.0,2885705.0,1243162.0,157429.69595378538,319540.0,471130.0,230301.0,222191.0,608981.0,471957.0,17108.0,81381.77659046384,119916.0,0.9999999755072809,1033561.0,415955.0,147287.0,258127.0,234891.0
Bad,15.239999771118164,9.31999969482422,13.979999542236328,11.149999618530273,42310022.333333336,11.62411880493164,63253422.0,20793485.0,3111608.0,2828064.0,4772366.0,8866888.0,1172809.0,41751.0,4166476.2116198633,212969.13526819018,2571371.0,2085315.0,1394383.0,22132447.0,14195514.0,63253422.0,8565490.0,668713.0,3236362.0,803497.0,2843706.0,955969.0,23447276.0,18649526.0,906897.0,944546.0,2946308.0,19644613.0,11596044.0,6881998.0,-69861.0,4148446.0,198944.93108612375
Bad,27.309999465942386,21.729999542236328,24.75,24.60000038146973,18278054.33333333,23.32463836669922,4910968.0,882855.0,238905.0,400173.0,186650.0,5935.0,27951.0,16810.0,4163483.938479884,71575.0,40214.0,8397.0,3660875.0,19970.0,105044.0,4910968.0,511373.0,20883.0,40654.0,23163.0,337240.0,89433.0,1905790.0,1739126.0,4326.0,70845.0,14419.0,6617.0,2487188.0,1231313.0,473382.0,782493.0,109693.67409982318
Bad,30.35000038146973,26.270000457763672,29.61000061035156,27.13999938964844,38273533.333333336,25.77133814493815,3454612.0,1126358.0,191491.0,279012.0,558473.0,17226.0,58335.0,21821.0,4150464.6820881306,218234.45543504658,204497.26378020697,65345.0,10066.0,642576.0,1610267.0,3454612.0,822232.0,96316.0,143247.0,36905.0,308082.0,17430.0,1031507.0,564759.0,67259.0,371338.0,28151.0,1.0,1600873.0,1413608.0,20077.0,70681.0,96429.0
Bad,22.5,11.583700180053713,19.866100311279297,14.9399995803833,11570905.666666664,16.613333066304527,8265026.0,3633042.0,123715.0,1084604.0,685380.0,1360702.0,176403.0,159465.0,4158126.785924797,81713.24189488447,726178.0,764214.0,30074.23498750699,530338.0,2611254.0,8265026.0,2300160.0,81569.0,1364713.0,56133.0,537195.0,260550.0,3103673.0,2646948.0,105024.0,16875.36797129002,320365.0,108.0,2861085.0,3632101.0,24773.0,502444.9936661698,-795460.0
Bad,14.630000114440918,11.279999732971193,13.619999885559082,12.31999969482422,293262800.0,10.432697296142578,24690184.0,3538984.0,187630.0,3093569.0,59680.0,2596009.7178178006,157299.0,23504.0,5536791.0156384185,210252.5339295486,164990.0,105035.0,3235429.0,363197.0,16629809.0,24690184.0,1735295.0,216211.09566436513,31931.0,29910.0,39552.0,1631736.0,3517244.0,1348120.0,47688.0,2017425.0,104011.0,15680.0,19421964.0,2540239.0,15347881.0,577884.0,404523.0
Bad,92.0,75.0,75.76000213623047,91.8000030517578,21938666.666666668,84.5170186360677,6464249.0,3928204.0,264873.0,1984094.7555286835,1049074.0,2517594.0,78778.0,140155.60545195427,4163613.749664364,1622.0,196003.23500563996,62190.0,5812.823574183889,1276276.0,1191016.0,6464249.0,2493779.0,202799.0,1815687.0,130432.0,196248.0,99347.0,720098.0,414711.0,20988.0,228715.0,8169.0,27859.0,3222513.0,1808639.0,151156.0,1280751.0,78551.18274206709
Bad,21.01000022888184,15.449999809265135,20.600000381469727,17.690000534057614,95361566.66666669,14.05217138926188,13294284.0,1449024.0,866569.0,469765.3166861088,317730.0,1195038.6605761477,64632.0,182312.0,4138851.1524409177,21288.0,451804.0,2755652.0,674153.0,472719.0,7222887.0,13294284.0,2717610.0,109137.0,163858.0,260450.0,1858745.0,107878.0,6627073.0,5410768.0,156932.0,214666.0,746544.0,61171.0,3888430.0,2025342.0,-22934.0,1205369.0,641104.0
Bad,9.534549713134766,7.937079906463622,8.600179672241211,8.831259727478027,335060649.3333333,3.0247417291005454,2051257.0,1469403.0,360695.0,483393.5768952698,1101032.0,1961397.7706246467,190214.27007873417,7676.0,5394389.126503574,252671.0,898035.3915646267,584188.1863329584,131.0,264748.0,64304.0,2051257.0,1303859.0,214682.54272130402,96480.0,330483.0,426007.4302788577,876896.0,153503.0,822320.1359340182,86866.0,2410873.852831173,66637.0,1506837.0903753804,593895.0,75379.0,70288.0,448228.0,254641.59368009033
Bad,23.46999931335449,17.899999618530273,18.959999084472656,21.489999771118164,387882533.3333333,18.792629877726238,599149969.0,121163678.0,35747242.0,16808468.0,21974700.0,28446925.0,12845667.0,4012266.0,7355000.872889741,5122163.0,17255799.0,10926826.0,12248080.0,342266905.0,82283987.0,599149969.0,68212335.0,3182067.0,21417527.0,10968716.0,18966327.0,7538239.0,198714032.0,136588370.0,1816266.0,33268472.0,26853786.0,2384730.0,329838881.0,205379731.0,562643.0,122624131.0,14418139.64679746
