"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CYRELA BRAZIL REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,9.772.333,9.742.527,9.829.268,10.499.600,10.010.071,9.652.269,10.401.541,10.931.386,11.340.173,11.940.930,11.879.699,12.079.418,12.243.534,12.666.844,12.729.588,13.416.693,13.314.373,13.326.248,13.420.612,13.965.433,13.896.935,14.416.449,14.387.099,14.039.473,13.620.424,13.898.293,13.829.895,13.616.873,13.603.554,13.531.460,13.416.769,13.496.668,12.931.957,12.489.039,12.042.561,0,0,0,0,8.863.939,7.896.224,7.766.726
Ativo Circulante,5.693.870,5.920.031,5.919.562,6.639.174,6.279.413,6.022.650,6.640.859,7.336.851,7.572.995,7.982.560,7.916.960,8.202.158,8.352.715,8.719.763,8.438.709,9.376.503,9.236.975,8.978.772,8.643.734,8.435.211,8.622.141,9.226.719,8.689.340,8.425.534,8.822.814,8.905.486,9.737.751,9.099.201,9.138.454,8.831.767,9.093.330,9.484.602,8.863.511,8.630.162,8.189.985,7.917.485,7.841.099,6.927.707,6.747.892,5.164.840,4.179.246,3.914.562
Caixa e Equivalentes de Caixa AC,140.592,129.100,173.830,129.272,160.640,98.521,195.630,251.948,268.768,458.946,513.757,508.248,588.949,781.748,828.512,840.887,865.387,908.265,919.160,925.530,879.923,1.658.232,1.330.136,1.384.733,968.984,1.042.867,1.244.492,360.513,264.923,478.267,265.494,290.792,255.330,293.439,242.556,736.542,715.417,1.189.402,1.561.965,837.424,404.905,651.805
Aplicações Financeiras AC,1.133.470,1.161.208,1.230.961,1.889.726,1.238.877,913.952,1.047.498,1.288.084,1.216.688,1.312.309,1.016.529,997.755,1.215.005,1.277.030,1.325.893,1.673.980,1.375.291,1.064.792,353.278,361.324,348.059,330.942,230.022,196.648,555.057,568.785,488.182,1.219.310,1.311.188,1.334.917,592.619,574.384,524.132,614.878,607.269,0,0,0,0,0,0,0
Contas a Receber AC,1.426.752,1.395.080,1.335.962,1.419.975,1.505.346,1.688.398,2.069.412,2.151.607,2.424.363,2.526.518,2.615.078,2.749.152,2.717.277,3.148.919,2.887.646,3.056.242,3.356.481,3.708.289,4.192.870,4.283.795,4.478.502,4.448.484,4.575.237,4.825.336,4.668.733,4.529.503,4.875.743,5.118.905,4.877.205,4.522.877,5.057.464,4.893.856,4.625.145,4.406.236,4.255.856,4.134.713,4.037.820,3.769.941,3.105.264,2.438.605,2.114.029,1.624.853
Estoques AC,2.891.372,3.145.656,3.093.608,3.102.544,3.281.750,3.237.486,3.218.341,3.503.575,3.532.900,3.578.748,3.656.791,3.772.196,3.681.014,3.279.126,3.169.305,3.503.244,3.370.821,3.028.755,3.031.736,2.699.279,2.751.592,2.561.968,2.421.633,1.890.113,2.501.193,2.634.351,2.984.464,2.255.796,2.542.439,2.334.133,3.023.701,3.596.587,3.331.777,3.184.516,3.076.564,3.046.230,3.087.862,1.968.364,2.080.663,1.888.811,1.660.312,1.637.904
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,28.896,23.541,15.146,29.854,26.098,19.186,15.917,36.083,26.997,24.772,18.119,42.524,34.548,79.673,71.779,127.829,129.487,118.636,112.346,105.059,98.357,91.445,91.442,84.358,82.594,80.618,88.655,78.277,79.441,76.152,86.369,69.514,70.132,75.557,0,0,0,0,0,0,0,0
Despesas Antecipadas AC,2.330,9.705,8.651,7.625,7.781,10.646,11.934,13.802,13.342,12.043,12.610,10.114,10.181,10.629,9.362,8.937,8.676,8.276,7.612,4.844,4.303,5.348,4.659,4.659,4.659,6.724,5.580,12.724,14.106,15.226,10.532,9.204,8.549,8.534,7.740,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,70.458,55.741,61.404,60.178,58.921,54.461,82.127,91.752,89.937,69.224,84.076,122.169,105.741,142.638,146.212,165.384,130.832,141.759,26.732,55.380,61.405,130.300,36.211,39.687,41.594,42.638,50.635,53.676,49.152,70.195,57.151,50.265,48.446,47.002,0,0,0,0,0,0,0,0
